Date,Location,Rank,Score,Corps
2014-07-29,"Erie, PA",7th,74.8,Jersey Surf
2014-07-29,"Erie, PA",8th,71.9,Seattle Cascades
2014-07-29,"Salem, VA",1st,95.35,Blue Devils
2014-07-29,"Salem, VA",2nd,92.55,Carolina Crown
2014-07-29,"Salem, VA",3rd,91.1,The Cavaliers
2014-07-29,"Salem, VA",4th,86.85,Blue Stars
2014-07-29,"Salem, VA",5th,82.2,Colts
2014-07-29,"Salem, VA",6th,78.65,The Academy
2014-07-29,"Troy, MI",2nd,72.3,Genesis
2014-07-30,"St. Paul, MN",4th,71.25,Music City
2014-07-30,"West Chester, PA",1st,94.95,The Cadets
2014-07-30,"West Chester, PA",2nd,94.05,Bluecoats
2014-07-30,"West Chester, PA",3rd,93.4,Carolina Crown
2014-07-30,"West Chester, PA",4th,92.2,The Cavaliers
2014-07-30,"West Chester, PA",5th,86.8,Blue Stars
2014-07-30,"West Chester, PA",6th,83.15,Crossmen
2014-07-30,"West Chester, PA",7th,80.9,Colts
2014-07-30,"West Chester, PA",7th,80.9,Spirit of Atlanta
2014-07-30,"West Chester, PA",9th,74.35,Jersey Surf
2014-07-31,"Piscataway, NJ",1st,96.9,Blue Devils
2014-07-31,"Piscataway, NJ",2nd,94.6,The Cadets
2014-07-31,"Piscataway, NJ",3rd,93.85,Bluecoats
2014-07-31,"Piscataway, NJ",5th,92.6,Carolina Crown
2014-07-31,"Piscataway, NJ",6th,92.0,The Cavaliers
2014-07-31,"Piscataway, NJ",7th,90.0,Phantom Regiment
2014-07-31,"Quincy, MA",1st,87.2,Boston Crusaders
2014-07-31,"Quincy, MA",2nd,87.0,Madison Scouts
2014-07-31,"Quincy, MA",3rd,84.25,Crossmen
2014-07-31,"Quincy, MA",4th,82.3,Troopers
2014-07-31,"Quincy, MA",5th,76.15,Jersey Surf
2014-08-01,"Allentown, PA",1st,96.825,Blue Devils
2014-08-01,"Allentown, PA",3rd,89.75,Phantom Regiment
2014-08-01,"Allentown, PA",4th,89.6,Blue Knights
2014-08-01,"Allentown, PA",5th,87.825,Boston Crusaders
2014-08-01,"Allentown, PA",6th,86.8,Blue Stars
2014-08-01,"Allentown, PA",7th,82.175,Colts
2014-08-01,"Allentown, PA",9th,77.35,Pacific Crest
2014-08-01,"Allentown, PA",10th,71.75,Seattle Cascades
2014-08-01,"Forest City, IA",4th,71.425,Music City
2014-08-02,"Allentown, PA",1st,95.15,The Cadets
2014-08-02,"Allentown, PA",2nd,94.9,Bluecoats
2014-08-02,"Allentown, PA",3rd,93.425,Carolina Crown
2014-08-02,"Allentown, PA",4th,91.975,The Cavaliers
2014-08-02,"Allentown, PA",5th,86.9,Madison Scouts
2014-08-02,"Allentown, PA",6th,85.425,Crossmen
2014-08-02,"Allentown, PA",7th,83.8,Troopers
2014-08-02,"Allentown, PA",8th,80.75,Spirit of Atlanta
2014-08-02,"Allentown, PA",9th,79.825,The Academy
2014-08-02,"Allentown, PA",10th,75.975,Mandarins
2014-08-02,"Allentown, PA",11th,75.0,Jersey Surf
2014-08-02,"Avon Lake, OH",2nd,74.45,Genesis
2014-08-03,"Buffalo, NY",1st,97.55,Blue Devils
2014-08-03,"Buffalo, NY",2nd,95.9,The Cadets
2014-08-03,"Buffalo, NY",3rd,95.2,Bluecoats
2014-08-03,"Buffalo, NY",4th,95.15,Carolina Crown
2014-08-03,"Buffalo, NY",6th,92.1,The Cavaliers
2014-08-03,"Buffalo, NY",7th,84.2,Troopers
2014-08-03,"Pittsburgh, PA",1st,90.75,Phantom Regiment
2014-08-03,"Pittsburgh, PA",2nd,89.8,Blue Knights
2014-08-03,"Pittsburgh, PA",3rd,87.75,Boston Crusaders
2014-08-03,"Pittsburgh, PA",4th,87.15,Blue Stars
2014-08-03,"Pittsburgh, PA",5th,82.25,Colts
2014-08-03,"Pittsburgh, PA",6th,78.2,Pacific Crest
2014-08-03,"Pittsburgh, PA",7th,76.4,Mandarins
2014-08-03,"Pittsburgh, PA",8th,71.7,Seattle Cascades
2014-08-04,"Centerville, OH",1st,92.0,The Cavaliers
2014-08-04,"Centerville, OH",2nd,90.4,Blue Knights
2014-08-04,"Centerville, OH",3rd,88.7,Blue Stars
2014-08-04,"Centerville, OH",4th,85.35,Colts
2014-08-04,"Centerville, OH",6th,81.7,The Academy
2014-08-04,"Centerville, OH",7th,81.55,Spirit of Atlanta
2014-08-04,"Centerville, OH",8th,79.15,Pacific Crest
2014-08-04,"Centerville, OH",9th,77.05,Jersey Surf
2014-08-04,"Massillon, OH",1st,96.1,The Cadets
2014-08-04,"Massillon, OH",2nd,95.3,Bluecoats
2014-08-04,"Massillon, OH",4th,94.1,Carolina Crown
2014-08-04,"Massillon, OH",5th,90.85,Phantom Regiment
2014-08-04,"Massillon, OH",6th,87.95,Boston Crusaders
2014-08-04,"Massillon, OH",7th,85.3,Crossmen
2014-08-04,"Michigan City, IN",4th,75.925,Genesis
2014-08-04,"Michigan City, IN",7th,72.825,Music City
2014-08-05,"Michigan City, IN",3rd,77.9,Genesis
2014-08-05,"Michigan City, IN",8th,72.975,Music City
2014-08-07,"Indianapolis, IN",1st,98.55,Blue Devils
2014-08-07,"Indianapolis, IN",2nd,96.925,The Cadets
2014-08-07,"Indianapolis, IN",3rd,95.8,Bluecoats
2014-08-07,"Indianapolis, IN",5th,94.75,Carolina Crown
2014-08-07,"Indianapolis, IN",6th,93.6,The Cavaliers
2014-08-07,"Indianapolis, IN",7th,91.65,Blue Knights
2014-08-07,"Indianapolis, IN",8th,91.025,Phantom Regiment
2014-08-07,"Indianapolis, IN",9th,89.375,Blue Stars
2014-08-07,"Indianapolis, IN",10th,89.125,Boston Crusaders
2014-08-07,"Indianapolis, IN",11th,88.425,Madison Scouts
2014-08-07,"Indianapolis, IN",12th,86.25,Crossmen
2014-08-07,"Indianapolis, IN",13th,84.725,Colts
2014-08-07,"Indianapolis, IN",14th,84.6,Troopers
2014-08-07,"Indianapolis, IN",15th,82.3,Spirit of Atlanta
2014-08-07,"Indianapolis, IN",16th,81.875,The Academy
2014-08-07,"Indianapolis, IN",19th,79.375,Pacific Crest
2014-08-07,"Indianapolis, IN",21st,77.75,Mandarins
2014-08-07,"Indianapolis, IN",22nd,75.55,Jersey Surf
2014-08-07,"Indianapolis, IN",23rd,75.175,Genesis
2014-08-07,"Indianapolis, IN",26th,72.25,Seattle Cascades
2014-08-07,"Indianapolis, IN",27th,71.575,Music City
2014-08-08,"Indianapolis, IN",1st,98.95,Blue Devils
2014-08-08,"Indianapolis, IN",2nd,96.7,The Cadets
2014-08-08,"Indianapolis, IN",3rd,96.55,Bluecoats
2014-08-08,"Indianapolis, IN",5th,95.3,Carolina Crown
2014-08-08,"Indianapolis, IN",6th,93.275,The Cavaliers
2014-08-08,"Indianapolis, IN",7th,91.825,Blue Knights
2014-08-08,"Indianapolis, IN",8th,91.55,Phantom Regiment
2014-08-08,"Indianapolis, IN",9th,89.225,Blue Stars
2014-08-08,"Indianapolis, IN",10th,89.05,Boston Crusaders
2014-08-08,"Indianapolis, IN",11th,87.65,Madison Scouts
2014-08-08,"Indianapolis, IN",12th,85.45,Crossmen
2014-08-08,"Indianapolis, IN",13th,85.35,Colts
2014-08-08,"Indianapolis, IN",14th,84.775,Troopers
2014-08-08,"Indianapolis, IN",16th,81.875,The Academy
2014-08-08,"Indianapolis, IN",17th,81.55,Spirit of Atlanta
2014-08-08,"Indianapolis, IN",20th,78.9,Pacific Crest
2014-08-08,"Indianapolis, IN",21st,78.15,Mandarins
2014-08-08,"Indianapolis, IN",22nd,75.8,Jersey Surf
2014-08-08,"Indianapolis, IN",23rd,74.075,Genesis
2014-08-09,"Indianapolis, IN",1st,99.65,Blue Devils
2014-08-09,"Indianapolis, IN",2nd,97.175,Bluecoats
2014-08-09,"Indianapolis, IN",3rd,96.875,The Cadets
2014-08-09,"Indianapolis, IN",5th,95.675,Carolina Crown
2014-08-09,"Indianapolis, IN",6th,93.675,The Cavaliers
2014-08-09,"Indianapolis, IN",7th,91.425,Phantom Regiment
2014-08-09,"Indianapolis, IN",8th,91.15,Blue Knights
2014-08-09,"Indianapolis, IN",9th,89.6,Blue Stars
2014-08-09,"Indianapolis, IN",10th,88.95,Boston Crusaders
2014-08-09,"Indianapolis, IN",11th,87.575,Madison Scouts
2014-08-09,"Indianapolis, IN",12th,86.225,Crossmen
2015-06-17,"Indianapolis, IN",1st,69.85,The Cadets
2015-06-17,"Indianapolis, IN",2nd,68.25,Bluecoats
2015-06-17,"Indianapolis, IN",3rd,68.1,Carolina Crown
2015-06-17,"Indianapolis, IN",4th,63.1,The Cavaliers
2015-06-17,"Indianapolis, IN",5th,61.5,Madison Scouts
2015-06-17,"Indianapolis, IN",6th,60.95,Blue Stars
2015-06-19,"Clovis, CA",1st,72.2,Blue Devils
2015-06-19,"Clovis, CA",3rd,66.95,Phantom Regiment
2015-06-19,"Clovis, CA",4th,65.4,Blue Knights
2015-06-19,"Clovis, CA",5th,58.2,Pacific Crest
2015-06-19,"Clovis, CA",6th,55.75,Mandarins
2015-06-19,Papa John's Cardinal Stadium,1st,70.9,The Cadets
2015-06-19,Papa John's Cardinal Stadium,2nd,65.8,The Cavaliers
2015-06-19,Papa John's Cardinal Stadium,3rd,62.4,Madison Scouts
2015-06-19,Papa John's Cardinal Stadium,4th,62.0,Blue Stars
2015-06-19,Papa John's Cardinal Stadium,5th,61.2,Crossmen
2015-06-19,Papa John's Cardinal Stadium,6th,58.1,Troopers
2015-06-20,"Akron, OH",1st,73.25,Bluecoats
2015-06-20,"Akron, OH",2nd,73.15,The Cadets
2015-06-20,"Akron, OH",3rd,71.55,Carolina Crown
2015-06-20,"Akron, OH",4th,66.75,The Cavaliers
2015-06-20,"Akron, OH",5th,64.65,Blue Stars
2015-06-20,"Akron, OH",6th,60.6,Boston Crusaders
2015-06-20,"Akron, OH",7th,59.4,Troopers
2015-06-20,"Plainwell, MI",1st,64.1,Madison Scouts
2015-06-20,"Plainwell, MI",2nd,62.2,Crossmen
2015-06-20,"Plainwell, MI",3rd,58.1,Spirit of Atlanta
2015-06-20,"Plainwell, MI",4th,57.8,Colts
2015-06-20,"Stanford, CA",1st,73.45,Blue Devils
2015-06-20,"Stanford, CA",3rd,68.05,Phantom Regiment
2015-06-20,"Stanford, CA",4th,66.4,Blue Knights
2015-06-20,"Stanford, CA",5th,61.0,Pacific Crest
2015-06-20,"Stanford, CA",6th,59.85,Mandarins
2015-06-21,"Lisle, IL",1st,74.6,The Cadets
2015-06-21,"Lisle, IL",2nd,73.7,Bluecoats
2015-06-21,"Lisle, IL",3rd,72.8,Carolina Crown
2015-06-21,"Lisle, IL",4th,69.1,The Cavaliers
2015-06-21,"Lisle, IL",5th,63.4,Crossmen
2015-06-21,"Lisle, IL",6th,63.3,Boston Crusaders
2015-06-21,"Lisle, IL",7th,57.1,Colts
2015-06-21,"Sacramento, CA",1st,75.15,Blue Devils
2015-06-21,"Sacramento, CA",3rd,68.3,Phantom Regiment
2015-06-21,"Sacramento, CA",4th,66.85,Blue Knights
2015-06-21,"Sacramento, CA",5th,59.55,Pacific Crest
2015-06-21,"Sacramento, CA",6th,58.2,Mandarins
2015-06-22,"Hamilton, OH",1st,73.9,Bluecoats
2015-06-22,"Hamilton, OH",2nd,72.8,Carolina Crown
2015-06-22,"Hamilton, OH",3rd,66.9,Madison Scouts
2015-06-22,"Hamilton, OH",4th,65.8,Blue Stars
2015-06-22,"Hamilton, OH",5th,61.8,Troopers
2015-06-22,"Hamilton, OH",6th,61.7,Boston Crusaders
2015-06-22,"Hamilton, OH",7th,57.2,Spirit of Atlanta
2015-06-22,"Santa Clara, CA",2nd,70.4,Blue Knights
2015-06-22,"Santa Clara, CA",3rd,70.3,Phantom Regiment
2015-06-22,"Santa Clara, CA",4th,64.1,Pacific Crest
2015-06-22,"Santa Clara, CA",5th,60.3,Mandarins
2015-06-23,"O'Fallon, IL",1st,76.1,The Cadets
2015-06-23,"O'Fallon, IL",2nd,71.4,The Cavaliers
2015-06-23,"O'Fallon, IL",3rd,65.4,Crossmen
2015-06-23,"O'Fallon, IL",4th,62.4,Spirit of Atlanta
2015-06-23,"O'Fallon, IL",5th,60.9,Colts
2015-06-24,"Evansville, IN",1st,77.2,The Cadets
2015-06-24,"Evansville, IN",2nd,72.9,The Cavaliers
2015-06-24,"Evansville, IN",3rd,67.1,Crossmen
2015-06-24,"Evansville, IN",4th,63.7,Spirit of Atlanta
2015-06-24,"Evansville, IN",5th,60.8,Colts
2015-06-24,"Pittsburgh, PA",1st,74.9,Bluecoats
2015-06-24,"Pittsburgh, PA",2nd,67.9,Blue Stars
2015-06-24,"Pittsburgh, PA",3rd,67.1,Madison Scouts
2015-06-24,"Pittsburgh, PA",4th,64.0,Boston Crusaders
2015-06-24,"Pittsburgh, PA",5th,63.7,Troopers
2015-06-26,"Oceanside, CA",2nd,72.1,Phantom Regiment
2015-06-26,"Oceanside, CA",3rd,71.9,Blue Knights
2015-06-26,"Oceanside, CA",4th,65.45,The Academy
2015-06-26,"Oceanside, CA",5th,63.2,Pacific Crest
2015-06-26,"Oceanside, CA",6th,61.25,Mandarins
2015-06-27,"Madison, WI",1st,75.7,Bluecoats
2015-06-27,"Madison, WI",2nd,68.8,Blue Stars
2015-06-27,"Madison, WI",3rd,66.5,Madison Scouts
2015-06-27,"Madison, WI",4th,65.0,Troopers
2015-06-27,"Madison, WI",5th,63.9,Colts
2015-06-27,"Michigan City, IN",1st,78.4,The Cadets
2015-06-27,"Michigan City, IN",2nd,73.6,The Cavaliers
2015-06-27,"Michigan City, IN",3rd,69.1,Crossmen
2015-06-27,"Michigan City, IN",4th,68.1,Boston Crusaders
2015-06-27,"Michigan City, IN",5th,64.0,Spirit of Atlanta
2015-06-27,"Michigan City, IN",1st,52.0,Genesis
2015-06-27,"Pasadena, CA",1st,79.4,Blue Devils
2015-06-27,"Pasadena, CA",3rd,73.15,Phantom Regiment
2015-06-27,"Pasadena, CA",4th,72.8,Blue Knights
2015-06-27,"Pasadena, CA",5th,67.1,The Academy
2015-06-27,"Pasadena, CA",6th,65.55,Pacific Crest
2015-06-27,"Pasadena, CA",7th,62.5,Mandarins
2015-06-28,"Bowling Green, OH",1st,79.0,The Cadets
2015-06-28,"Bowling Green, OH",2nd,77.5,Carolina Crown
2015-06-28,"Bowling Green, OH",3rd,73.7,The Cavaliers
2015-06-28,"Bowling Green, OH",4th,68.3,Boston Crusaders
2015-06-28,"Bowling Green, OH",5th,67.5,Crossmen
2015-06-28,"Bowling Green, OH",6th,66.3,Troopers
2015-06-28,"Bowling Green, OH",7th,65.0,Spirit of Atlanta
2015-06-28,"Riverside, CA",1st,79.85,Blue Devils
2015-06-28,"Riverside, CA",3rd,72.9,Phantom Regiment
2015-06-28,"Riverside, CA",4th,72.4,Blue Knights
2015-06-28,"Riverside, CA",5th,65.95,The Academy
2015-06-28,"Riverside, CA",6th,64.9,Pacific Crest
2015-06-28,"Riverside, CA",7th,63.05,Mandarins
2015-06-28,"Rochester, MN",1st,78.0,Bluecoats
2015-06-28,"Rochester, MN",2nd,70.0,Madison Scouts
2015-06-28,"Rochester, MN",3rd,68.6,Blue Stars
2015-06-28,"Rochester, MN",4th,64.6,Colts
2015-06-29,"Allentown, PA",1st,79.8,The Cadets
2015-06-29,"Allentown, PA",2nd,79.2,Carolina Crown
2015-06-29,"Allentown, PA",3rd,71.5,Boston Crusaders
2015-06-29,"Allentown, PA",4th,71.4,Crossmen
2015-06-29,"Allentown, PA",5th,67.4,Troopers
2015-06-29,"Mankato, MN",1st,78.9,Bluecoats
2015-06-29,"Mankato, MN",2nd,71.1,Madison Scouts
2015-06-29,"Mankato, MN",3rd,65.8,Colts
2015-06-29,"Mesa, AZ",2nd,74.4,Phantom Regiment
2015-06-29,"Mesa, AZ",3rd,67.5,The Academy
2015-07-01,"Olathe, KS",2nd,71.8,Blue Stars
2015-07-01,"Olathe, KS",3rd,66.4,Spirit of Atlanta
2015-07-01,"Olathe, KS",4th,66.1,Colts
2015-07-01,"Olathe, KS",2nd,55.6,Genesis
2015-07-02,"Foxboro, MA",1st,81.05,Blue Devils
2015-07-02,"Foxboro, MA",2nd,80.3,The Cadets
2015-07-02,"Foxboro, MA",3rd,79.85,Carolina Crown
2015-07-02,"Foxboro, MA",4th,71.9,Boston Crusaders
2015-07-02,"Foxboro, MA",5th,71.55,Crossmen
2015-07-02,"Foxboro, MA",6th,68.6,Troopers
2015-07-02,"Foxboro, MA",7th,60.1,Jersey Surf
2015-07-02,"McMinnville, OR",1st,74.7,Blue Knights
2015-07-02,"McMinnville, OR",3rd,59.4,Seattle Cascades
2015-07-02,"Waukee, IA",2nd,74.5,The Cavaliers
2015-07-02,"Waukee, IA",3rd,70.1,Blue Stars
2015-07-02,"Waukee, IA",4th,67.3,Colts
2015-07-02,"Waukee, IA",5th,66.9,Spirit of Atlanta
2015-07-03,"Bristol, RI",1st,82.5,Blue Devils
2015-07-03,"Bristol, RI",2nd,81.8,The Cadets
2015-07-03,"Bristol, RI",3rd,71.7,Crossmen
2015-07-03,"Bristol, RI",4th,69.6,Troopers
2015-07-03,"Bristol, RI",5th,60.7,Jersey Surf
2015-07-03,"Cedarburg, WI",1st,73.7,Madison Scouts
2015-07-03,"Cedarburg, WI",2nd,72.8,Blue Stars
2015-07-03,"Cedarburg, WI",3rd,70.8,Colts
2015-07-03,"Cedarburg, WI",1st,55.9,Genesis
2015-07-03,"Renton, WA",1st,75.6,Blue Knights
2015-07-03,"Renton, WA",3rd,61.4,Seattle Cascades
2015-07-03,"Rockford, IL",1st,79.9,Bluecoats
2015-07-03,"Rockford, IL",2nd,75.5,The Cavaliers
2015-07-03,"Rockford, IL",3rd,72.2,Phantom Regiment
2015-07-03,"Rockford, IL",4th,66.7,Spirit of Atlanta
2015-07-03,"Rockford, IL",2nd,54.1,Music City
2015-07-04,"Lynn, MA",1st,82.3,The Cadets
2015-07-04,"Lynn, MA",2nd,81.1,Carolina Crown
2015-07-04,"Lynn, MA",3rd,73.4,Crossmen
2015-07-04,"Lynn, MA",4th,71.6,Troopers
2015-07-04,"Lynn, MA",5th,61.4,Jersey Surf
2015-07-05,"Clifton, NJ",1st,82.6,Blue Devils
2015-07-05,"Clifton, NJ",2nd,82.55,The Cadets
2015-07-05,"Clifton, NJ",3rd,81.7,Carolina Crown
2015-07-05,"Clifton, NJ",4th,75.35,Boston Crusaders
2015-07-05,"Clifton, NJ",5th,61.9,Jersey Surf
2015-07-05,"Sacramento, CA",1st,64.2,Mandarins
2015-07-05,"Whitewater, WI",1st,79.45,Bluecoats
2015-07-05,"Whitewater, WI",3rd,75.5,The Cavaliers
2015-07-05,"Whitewater, WI",4th,73.7,Phantom Regiment
2015-07-05,"Whitewater, WI",5th,71.7,Madison Scouts
2015-07-05,"Whitewater, WI",6th,71.0,Blue Stars
2015-07-05,"Whitewater, WI",7th,68.15,Colts
2015-07-05,"Whitewater, WI",2nd,56.55,Genesis
2015-07-05,"Whitewater, WI",3rd,55.45,Music City
2015-07-06,"Tri Cities, WA",1st,77.8,Blue Knights
2015-07-06,"Tri Cities, WA",3rd,62.2,Seattle Cascades
2015-07-07,"Boise, ID",1st,78.9,Blue Knights
2015-07-07,"Boise, ID",2nd,71.5,The Academy
2015-07-07,"Boise, ID",4th,63.3,Seattle Cascades
2015-07-07,"Dubuque, IA",1st,80.35,Bluecoats
2015-07-07,"Dubuque, IA",2nd,75.8,Phantom Regiment
2015-07-07,"Dubuque, IA",3rd,70.15,Troopers
2015-07-07,"Dubuque, IA",4th,69.45,Colts
2015-07-07,"Dubuque, IA",5th,68.25,Spirit of Atlanta
2015-07-07,"Wausau, WI",1st,74.0,Madison Scouts
2015-07-07,"Wausau, WI",2nd,73.3,Blue Stars
2015-07-07,"Wausau, WI",2nd,56.9,Music City
2015-07-08,"Ft. Wayne, IN",1st,83.7,Blue Devils
2015-07-08,"Ft. Wayne, IN",2nd,82.9,Carolina Crown
2015-07-08,"Ft. Wayne, IN",3rd,73.15,Crossmen
2015-07-08,"Ft. Wayne, IN",4th,62.15,Jersey Surf
2015-07-08,"Ft. Wayne, IN",1st,58.85,Genesis
2015-07-08,"Ogden, UT",1st,79.4,Blue Knights
2015-07-08,"Ogden, UT",2nd,70.9,The Academy
2015-07-08,"Ogden, UT",3rd,69.2,Pacific Crest
2015-07-08,"Ogden, UT",5th,62.7,Seattle Cascades
2015-07-09,"La Crosse, WI",2nd,78.0,The Cavaliers
2015-07-09,"La Crosse, WI",3rd,74.7,Madison Scouts
2015-07-09,"La Crosse, WI",4th,74.0,Blue Stars
2015-07-09,"La Crosse, WI",5th,61.85,Jersey Surf
2015-07-09,"La Crosse, WI",2nd,58.15,Music City
2015-07-09,"Laramie, WY",1st,75.1,Troopers
2015-07-09,"Laramie, WY",2nd,72.1,Colts
2015-07-09,"Laramie, WY",3rd,71.9,The Academy
2015-07-09,"Laramie, WY",4th,69.6,Spirit of Atlanta
2015-07-09,"Laramie, WY",5th,68.8,Pacific Crest
2015-07-10,"Casper, WY",1st,83.3,Bluecoats
2015-07-10,"Casper, WY",2nd,75.3,Troopers
2015-07-10,"Casper, WY",3rd,69.9,Mandarins
2015-07-10,"Casper, WY",5th,64.1,Seattle Cascades
2015-07-11,"Denver, CO",1st,83.5,Bluecoats
2015-07-11,"Denver, CO",2nd,79.85,Blue Knights
2015-07-11,"Denver, CO",3rd,75.55,Troopers
2015-07-11,"Denver, CO",4th,73.45,Colts
2015-07-11,"Denver, CO",4th,73.45,The Academy
2015-07-11,"Denver, CO",6th,71.1,Spirit of Atlanta
2015-07-11,"Denver, CO",7th,69.1,Mandarins
2015-07-11,"Denver, CO",8th,69.05,Pacific Crest
2015-07-11,"Denver, CO",10th,64.15,Seattle Cascades
2015-07-11,"Minneapolis, MN",1st,82.95,The Cadets
2015-07-11,"Minneapolis, MN",2nd,82.85,Blue Devils
2015-07-11,"Minneapolis, MN",4th,80.7,Carolina Crown
2015-07-11,"Minneapolis, MN",5th,77.65,The Cavaliers
2015-07-11,"Minneapolis, MN",6th,76.25,Phantom Regiment
2015-07-11,"Minneapolis, MN",7th,73.25,Blue Stars
2015-07-11,"Minneapolis, MN",8th,73.1,Madison Scouts
2015-07-11,"Minneapolis, MN",9th,72.6,Boston Crusaders
2015-07-11,"Minneapolis, MN",10th,71.45,Crossmen
2015-07-11,"Minneapolis, MN",11th,63.15,Jersey Surf
2015-07-11,"Minneapolis, MN",2nd,58.7,Music City
2015-07-12,"DeKalb, IL",1st,83.8,Blue Devils
2015-07-12,"DeKalb, IL",2nd,83.65,The Cadets
2015-07-12,"DeKalb, IL",3rd,82.25,Carolina Crown
2015-07-12,"DeKalb, IL",5th,77.75,Phantom Regiment
2015-07-12,"DeKalb, IL",6th,77.3,The Cavaliers
2015-07-12,"DeKalb, IL",7th,74.0,Boston Crusaders
2015-07-12,"Muscatine, IA",1st,75.75,Blue Stars
2015-07-12,"Muscatine, IA",2nd,75.05,Madison Scouts
2015-07-12,"Muscatine, IA",3rd,73.3,Crossmen
2015-07-12,"Muscatine, IA",4th,63.65,Jersey Surf
2015-07-12,"Muscatine, IA",2nd,59.35,Music City
2015-07-13,"Freemont, NE",1st,80.9,Blue Knights
2015-07-13,"Freemont, NE",2nd,75.55,Troopers
2015-07-13,"Freemont, NE",3rd,74.25,The Academy
2015-07-13,"Freemont, NE",4th,70.7,Spirit of Atlanta
2015-07-13,"Freemont, NE",5th,70.4,Pacific Crest
2015-07-13,"Freemont, NE",6th,69.25,Mandarins
2015-07-13,"Freemont, NE",7th,63.6,Seattle Cascades
2015-07-13,"Warrensburg, MO",1st,84.95,The Cadets
2015-07-13,"Warrensburg, MO",2nd,84.65,Blue Devils
2015-07-13,"Warrensburg, MO",3rd,83.45,Bluecoats
2015-07-13,"Warrensburg, MO",4th,82.75,Carolina Crown
2015-07-13,"Warrensburg, MO",6th,79.15,The Cavaliers
2015-07-13,"Warrensburg, MO",7th,77.7,Phantom Regiment
2015-07-14,"Bentonville, AR",1st,85.5,Blue Devils
2015-07-14,"Bentonville, AR",2nd,84.25,Carolina Crown
2015-07-14,"Bentonville, AR",3rd,76.4,Boston Crusaders
2015-07-14,"Bentonville, AR",4th,72.7,Colts
2015-07-14,"Bentonville, AR",5th,71.9,Spirit of Atlanta
2015-07-14,"Bentonville, AR",6th,63.55,Jersey Surf
2015-07-14,"Bentonville, AR",1st,62.95,Genesis
2015-07-14,"Bentonville, AR",3rd,61.55,Music City
2015-07-14,"Great Bend, KS",1st,82.0,Blue Knights
2015-07-14,"Great Bend, KS",2nd,76.65,Blue Stars
2015-07-14,"Great Bend, KS",3rd,76.4,Crossmen
2015-07-14,"Great Bend, KS",4th,76.15,Troopers
2015-07-14,"Great Bend, KS",5th,74.9,The Academy
2015-07-15,"Mustang, OK",1st,86.45,The Cadets
2015-07-15,"Mustang, OK",2nd,83.2,Blue Knights
2015-07-15,"Mustang, OK",3rd,78.65,Madison Scouts
2015-07-15,"Mustang, OK",4th,76.45,Troopers
2015-07-15,"Mustang, OK",5th,72.55,Colts
2015-07-15,"Mustang, OK",6th,72.0,Pacific Crest
2015-07-15,"Mustang, OK",7th,71.45,Mandarins
2015-07-15,"Mustang, OK",8th,65.2,Seattle Cascades
2015-07-15,"Mustang, OK",1st,62.95,Genesis
2015-07-16,"Belton, TX",1st,83.4,Blue Knights
2015-07-16,"Belton, TX",2nd,80.55,Phantom Regiment
2015-07-16,"Belton, TX",3rd,79.35,Madison Scouts
2015-07-16,"Belton, TX",4th,78.6,Crossmen
2015-07-16,"Belton, TX",5th,78.15,Boston Crusaders
2015-07-16,"Belton, TX",6th,77.0,Blue Stars
2015-07-16,"Belton, TX",7th,76.4,The Academy
2015-07-16,"Belton, TX",8th,76.15,Troopers
2015-07-16,"Belton, TX",9th,71.5,Pacific Crest
2015-07-16,"Belton, TX",10th,70.3,Mandarins
2015-07-16,"Belton, TX",1st,64.95,Genesis
2015-07-16,"Denton, TX",1st,85.9,The Cadets
2015-07-16,"Denton, TX",2nd,85.15,Bluecoats
2015-07-16,"Denton, TX",3rd,84.65,Carolina Crown
2015-07-16,"Denton, TX",5th,80.25,The Cavaliers
2015-07-16,"Denton, TX",6th,74.15,Colts
2015-07-16,"Denton, TX",7th,72.5,Spirit of Atlanta
2015-07-16,"Denton, TX",9th,64.15,Seattle Cascades
2015-07-16,"Denton, TX",10th,62.6,Jersey Surf
2015-07-17,"Houston, TX",1st,87.3,The Cadets
2015-07-17,"Houston, TX",2nd,86.9,Blue Devils
2015-07-17,"Houston, TX",3rd,85.25,Bluecoats
2015-07-17,"Houston, TX",4th,84.55,Carolina Crown
2015-07-17,"Houston, TX",6th,81.25,The Cavaliers
2015-07-17,"Houston, TX",7th,80.35,Phantom Regiment
2015-07-17,"Houston, TX",8th,77.6,Crossmen
2015-07-18,"San Antonio, TX",1st,87.625,The Cadets
2015-07-18,"San Antonio, TX",2nd,87.3,Blue Devils
2015-07-18,"San Antonio, TX",3rd,86.2,Carolina Crown
2015-07-18,"San Antonio, TX",4th,85.625,Bluecoats
2015-07-18,"San Antonio, TX",6th,81.9,Blue Knights
2015-07-18,"San Antonio, TX",7th,81.825,The Cavaliers
2015-07-18,"San Antonio, TX",8th,80.975,Phantom Regiment
2015-07-18,"San Antonio, TX",9th,79.2,Madison Scouts
2015-07-18,"San Antonio, TX",10th,77.725,Boston Crusaders
2015-07-18,"San Antonio, TX",11th,77.425,Crossmen
2015-07-18,"San Antonio, TX",12th,77.15,Blue Stars
2015-07-18,"San Antonio, TX",13th,76.275,Troopers
2015-07-18,"San Antonio, TX",14th,75.225,Colts
2015-07-18,"San Antonio, TX",15th,74.075,The Academy
